Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
m1.medium,cache,PNG,Weighted Overlay,256x256,500,20,500,0,18.207,19848500,27.46,728.294,36.415,1064.59,0,2.2,718,126.4,717,126.1,719,126.2,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
m1.medium,cache,Text,Weighted Overlay,256x256,500,20,500,454,18.285,53942,27.34,731.416,36.571,2.88,0,0.6,722,142.4,721,142.6,722,142.3,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
m1.medium,cache,Text,Weighted Overlay,1408x1408,500,20,500,44,367.41,54450,1.36,14696.386,734.819,0.14,0,0.7,14514,1532.4,14513,1532.5,14514,1532.1,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
m1.medium,local,PNG,Weighted Overlay,256x256,500,20,500,0,18.239,19848500,27.41,729.576,36.479,1062.72,0,0.8,720,130,719,129.8,720,129.9,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
m1.medium,local,Text,Weighted Overlay,256x256,500,20,500,62,18.163,53931,27.53,726.502,36.325,2.9,0,2.4,716,144.3,715,144.1,716,144,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
m1.medium,local,Text,Weighted Overlay,1408x1408,500,20,500,53,365.853,54443,1.37,14634.133,731.707,0.15,0,0.6,14461,1577.1,14459,1575.8,14461,1576.9,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
m1.medium,cache,PNG,Hillshade,256x256,500,20,500,0,109.4,18210500,4.57,4376.007,218.8,162.56,0,0.7,4322,452.3,4321,451.7,4322,452,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
m1.medium,cache,PNG,Hillshade,256x256,500,20,500,0,93.064,17181500,5.37,3722.571,186.129,180.29,0,0.7,3676,440.8,3676,440.2,3677,440.5,http://localhost:8000/hillshade/cache_rast1-small/5/true
m1.medium,local,PNG,Hillshade,256x256,500,20,500,0,108.743,18210500,4.6,4349.722,217.486,163.54,0,0.7,4298,442,4298,442,4299,441.6,http://localhost:8000/hillshade-con/local_rast1-small/5/true
m1.medium,local,PNG,Hillshade,256x256,500,20,500,0,92.716,17181500,5.39,3708.646,185.432,180.97,0,0.2,3659,463.9,3659,464.7,3659,463.9,http://localhost:8000/hillshade/local_rast1-small/5/true
m1.medium,cache,PNG,Weighted Overlay,256x256,500,20,500,0,17.731,19848500,28.2,709.249,35.462,1093.17,0,2.4,700,134.5,698,132.8,701,134.3,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
m1.medium,cache,Text,Weighted Overlay,256x256,500,20,500,47,17.583,53950,28.44,703.335,35.167,3,0,0.7,695,133.3,694,133.2,695,133.2,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
m1.medium,cache,Text,Weighted Overlay,1408x1408,500,20,500,44,367.78,54452,1.36,14711.219,735.561,0.14,0,1.1,14535,1718.6,14535,1718.9,14536,1718,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
m1.medium,local,PNG,Weighted Overlay,256x256,500,20,500,0,18.332,19848500,27.28,733.271,36.664,1057.36,0,3.2,725,137.9,724,137.9,725,137.5,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
