"Type","Configuration","IOPS","RunTime","BW"
"instance","single","84246","329","1413"
"instance","single","88902","347","1339"
"instance","single","81090","316","1468"
"instance","single","90182","352","1320"
"instance","single","77399","302","1538"
"instance","single","85395","333","1394"
"instance","single","90250","352","1319"
"instance","single","84907","331","1402"
"instance","single","84068","328","1416"
"instance","single","55756","217","2135"
"instance","single","75247","293","1582"
"instance","single","56072","219","2123"
"instance","single","80162","313","1485"
"instance","single","83420","325","1427"
"instance","single","88178","344","1350"
"instance","single","78730","307","1512"
"instance","single","75725","295","1572"
"instance","single","63084","246","1887"
"instance","single","58382","228","2039"
"instance","single","62984","246","1890"
"instance","single","63051","246","1888"
"instance","single","73346","286","1623"
"instance","single","85150","332","1398"
"instance","single","77049","300","1545"
"instance","single","65804","257","1809"
"instance","single","66133","258","1800"
"instance","single","68809","268","1730"
"instance","single","76949","300","1547"
"instance","single","82955","324","1435"
"instance","single","89842","350","1325"
"instance","single","71453","279","1666"
"instance","single","70189","274","1696"
"instance","single","60611","236","1964"
"instance","single","86198","336","1381"
"instance","single","77855","304","1529"
"instance","single","81534","318","1460"
"instance","single","83596","326","1424"
"instance","single","80870","315","1472"
"instance","single","81871","319","1454"
"instance","single","85517","334","1392"
"instance","single","82839","323","1437"
"instance","single","76504","298","1556"
"instance","single","65014","253","1831"
"instance","single","88178","344","1350"
"instance","single","84666","330","1406"
"instance","single","84545","330","1408"
"instance","single","52907","206","2250"
"instance","single","85333","333","1395"
"instance","single","87273","340","1364"
"instance","single","83890","327","1419"
"instance","single","52860","206","2252"
"instance","single","74354","290","1601"
"instance","single","57814","225","2059"
"instance","single","74680","291","1594"
"instance","single","73938","288","1610"
"instance","single","84545","330","1408"
"instance","single","89639","350","1328"
"instance","single","86827","339","1371"
"instance","single","80108","312","1486"
"instance","single","76357","298","1559"
"instance","single","83187","324","1431"
"instance","single","84786","331","1404"
"instance","single","78316","305","1520"
"instance","single","86012","335","1384"
"instance","single","71111","277","1674"
"instance","single","82495","322","1443"
"instance","single","87658","342","1358"
"instance","single","83245","325","1430"
"instance","single","37719","147","3156"
"instance","single","86827","339","1371"
"instance","single","76553","299","1555"
"instance","single","87982","343","1353"
"instance","single","86827","339","1371"
"instance","single","88113","344","1351"
"instance","single","75199","293","1583"
"instance","single","66914","261","1779"
"instance","single","83772","327","1421"
"instance","single","77550","302","1535"
"instance","single","73255","286","1625"
"instance","single","87209","340","1365"
"instance","single","66170","258","1799"
"instance","single","76602","299","1554"
"instance","single","88703","346","1342"
"instance","single","65587","256","1815"
"instance","single","87018","339","1368"
"instance","single","74821","292","1591"
"instance","single","89571","349","1329"
"instance","single","73892","288","1611"
"instance","single","75247","293","1582"
"instance","single","73892","288","1611"
