Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
hp.medium,cache,PNG,Weighted Overlay,256x256,500,20,500,0,5.945,19848500,84.1,237.812,11.891,3260.27,0,0.1,235,33.5,235,33.5,235,33.4,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
hp.medium,cache,Text,Weighted Overlay,256x256,500,20,500,169,5.887,53590,84.94,235.467,11.773,8.89,0,0.1,232,36.7,232,36.7,232,36.7,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
hp.medium,cache,Text,Weighted Overlay,1408x1408,500,20,500,48,116.036,54450,4.31,4641.431,232.072,0.46,0,0.4,4587,557.3,4586,557.3,4587,557.1,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
hp.medium,local,PNG,Weighted Overlay,256x256,500,20,500,0,5.9,19848500,84.74,236.003,11.8,3285.27,0,0.1,233,30.5,233,30.5,233,30.5,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
hp.medium,local,Text,Weighted Overlay,256x256,500,20,500,173,5.808,53591,86.09,232.325,11.616,9.01,0,0.1,229,32.5,229,32.5,229,32.4,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
hp.medium,local,Text,Weighted Overlay,1408x1408,500,20,500,49,115.601,54447,4.33,4624.059,231.203,0.46,0,0.1,4568,483.1,4568,483,4568,483,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
hp.medium,cache,PNG,Hillshade,256x256,500,20,500,0,36.616,18210500,13.66,1464.647,73.232,485.68,0,0.1,1446,129.2,1446,129.3,1446,129.2,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
hp.medium,cache,PNG,Hillshade,256x256,500,20,500,0,31.644,17181500,15.8,1265.777,63.289,530.23,0,0.1,1250,138.8,1249,138.9,1250,138.8,http://localhost:8000/hillshade/cache_rast1-small/5/true
hp.medium,local,PNG,Hillshade,256x256,500,20,500,0,36.472,18210500,13.71,1458.876,72.944,487.6,0,0.1,1441,132.6,1441,132.6,1441,132.5,http://localhost:8000/hillshade-con/local_rast1-small/5/true
hp.medium,local,PNG,Hillshade,256x256,500,20,500,0,31.45,17181500,15.9,1258,62.9,533.51,0,0.1,1242,135.5,1241,135.5,1242,135.5,http://localhost:8000/hillshade/local_rast1-small/5/true
hp.medium,cache,PNG,Weighted Overlay,256x256,500,20,500,0,5.834,19848500,85.7,233.363,11.668,3322.43,0,0.1,230,34.9,229,34.8,230,34.8,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
hp.medium,cache,Text,Weighted Overlay,256x256,500,20,500,157,5.706,53580,87.63,228.231,11.412,9.17,0,0.6,225,30.3,225,30.2,225,30.1,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
hp.medium,cache,Text,Weighted Overlay,1408x1408,500,20,500,54,115.266,54434,4.34,4610.638,230.532,0.46,0,0.5,4557,513.7,4556,513.8,4557,513.4,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
hp.medium,local,PNG,Weighted Overlay,256x256,500,20,500,0,5.885,19848500,84.96,235.412,11.771,3293.51,0,0.8,232,35.7,232,35.7,232,35.5,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
hp.medium,local,Text,Weighted Overlay,256x256,500,20,500,154,5.7,53591,87.71,228.018,11.401,9.18,0,0.1,225,31.9,225,31.9,225,31.8,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
hp.medium,local,Text,Weighted Overlay,1408x1408,500,20,500,442,115.895,54429,4.31,4635.819,231.791,0.46,0,0.1,4579,507.6,4579,507.6,4579,507.5,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
