Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
hp.xlarge,cache,PNG,Weighted Overlay,256x256,500,20,500,0,3.023,19848500,165.41,120.913,6.046,6412.33,0,0.2,119,22.7,119,22.7,119,22.7,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
hp.xlarge,cache,Text,Weighted Overlay,256x256,500,20,500,54,2.834,53447,176.42,113.368,5.668,18.42,0,0.1,112,20.2,111,20.2,112,20.2,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
hp.xlarge,cache,Text,Weighted Overlay,1408x1408,500,20,500,248,62.585,54186,7.99,2503.396,125.17,0.85,0,0.1,2469,295.2,2468,295.2,2469,295.2,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
hp.xlarge,local,PNG,Weighted Overlay,256x256,500,20,500,0,2.967,19848500,168.51,118.687,5.934,6532.57,0,0.1,117,21.1,117,21.2,117,21,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
hp.xlarge,local,Text,Weighted Overlay,256x256,500,20,500,53,2.923,53450,171.05,116.922,5.846,17.86,0,0.2,115,21.8,115,21.8,115,21.8,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
hp.xlarge,local,Text,Weighted Overlay,1408x1408,500,20,500,265,63.071,54202,7.93,2522.823,126.141,0.84,0,0.1,2494,281.2,2493,281.3,2494,281.2,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
hp.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,18.244,18210500,27.41,729.743,36.487,974.79,0,0.2,721,72.3,720,72.3,721,72.2,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
hp.xlarge,cache,PNG,Hillshade,256x256,500,20,500,0,16.031,17181500,31.19,641.236,32.062,1046.65,0,0.1,632,72.1,632,72.1,632,72,http://localhost:8000/hillshade/cache_rast1-small/5/true
hp.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,17.955,18210500,27.85,718.2,35.91,990.46,0,0.1,709,70.4,709,70.4,709,70.3,http://localhost:8000/hillshade-con/local_rast1-small/5/true
hp.xlarge,local,PNG,Hillshade,256x256,500,20,500,0,16.036,17181500,31.18,641.438,32.072,1046.32,0,0.2,631,73.8,631,73.8,631,73.7,http://localhost:8000/hillshade/local_rast1-small/5/true
