Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
lb-m1.medium (2),cache,PNG,Hillshade,256x256,500,10,500,0,28.578,17784500,17.5,571.564,57.156,607.72,40,9.9,529,288.9,488,286.3,569,290.7,http://lb-medium-2-1419205817.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.medium (2),local,PNG,Hillshade,256x256,500,10,500,0,22.326,17784500,22.4,446.516,44.652,777.92,40,8.8,405,94.9,364,94.7,445,95.6,http://lb-medium-2-1419205817.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.medium (2),block,PNG,Hillshade,256x256,500,10,500,0,21.708,17784500,23.03,434.167,43.417,800.05,39,6.4,392,97.9,352,96.7,431,97.9,http://lb-medium-2-1419205817.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.medium (2),cache,PNG,Hillshade,256x256,500,10,500,0,21.199,17784500,23.59,423.984,42.398,819.26,40,9,381,85.2,341,83.8,422,85.3,http://lb-medium-2-1419205817.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.medium (2),local,PNG,Hillshade,256x256,500,10,500,0,21.525,17784500,23.23,430.503,43.05,806.85,40,9.2,389,96.3,348,95.7,429,97.4,http://lb-medium-2-1419205817.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.medium (2),block,PNG,Hillshade,256x256,500,10,500,0,21.075,17784500,23.72,421.497,42.15,824.1,40,8.9,380,84.1,340,83.2,420,83.2,http://lb-medium-2-1419205817.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.medium (2),cache,PNG,Hillshade,256x256,500,10,500,0,20.614,17784500,24.26,412.284,41.228,842.51,41,11.7,369,84.3,329,83.8,410,84.8,http://lb-medium-2-1419205817.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.medium (2),local,PNG,Hillshade,256x256,500,10,500,0,20.803,17784500,24.03,416.069,41.607,834.85,40,7.4,372,77.4,332,76.9,412,78.1,http://lb-medium-2-1419205817.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.medium (2),block,PNG,Hillshade,256x256,500,10,500,0,20.513,17784500,24.37,410.266,41.027,846.65,40,7.9,368,85.1,328,84.6,407,85.4,http://lb-medium-2-1419205817.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
m1.medium,cache,PNG,Hillshade,256x256,500,10,500,0,52.2,17775000,9.58,1044.009,104.401,332.53,45,16.2,996,605.9,919,595.6,1040,605.5,http://ec2-54-243-15-106.compute-1.amazonaws.com:8000/hillshade/cache_rast1-small/2/true
m1.medium,local,PNG,Hillshade,256x256,500,10,500,0,42.222,17775000,11.84,844.431,84.443,411.13,46,16.9,794,275.3,728,274.4,840,274.9,http://ec2-54-243-15-106.compute-1.amazonaws.com:8000/hillshade/local_rast1-small/2/true
