"Server Type","Storage Type","Response Type","Test Name","Custom","Req/Connections","Connections","Completed","Failed","Total Time (s)","Total transferred (bytes)","req/sec","msec/req","msec/req concurrent","KB/sec","Connect mean (ms)","Connect std (ms)","Processing mean (ms)","Processing std (ms)","Waiting mean (ms)","Waiting std (ms)","Total mean (ms)","Total std (ms)","URL"
"localhost","cache","PNG","Weighted Overlay","256x256","500","20","500","0","6.170","19848500","81.04","246.801","12.340","3141.53","0","0.2","242","24.9","242","24.9","242","24.8","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true"
"localhost","cache","Text","Weighted Overlay","256x256","500","20","500","48","6.071","53446","82.36","242.824","12.141","8.60","0","0.2","238","26.0","238","26.0","238","25.8","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false"
"localhost","cache","Text","Weighted Overlay","1408x1408","500","20","500","48","98.118","53949","5.10","3924.727","196.236","0.54","0","0.2","3852","421.5","3852","421.5","3853","421.4","http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false"
"localhost","local","PNG","Weighted Overlay","256x256","500","20","500","0","6.031","19848500","82.91","241.233","12.062","3214.04","0","0.1","237","25.7","237","25.7","237","25.7","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true"
"localhost","local","Text","Weighted Overlay","256x256","500","20","500","53","6.049","53443","82.66","241.942","12.097","8.63","0","0.2","237","24.5","237","24.5","237","24.4","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false"
"localhost","local","Text","Weighted Overlay","1408x1408","500","20","500","50","98.345","53947","5.08","3933.797","196.690","0.54","0","0.1","3859","418.1","3859","418.1","3859","418.0","http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false"
"localhost","cache","PNG","Hillshade","256x256","500","20","500","0","15.714","18210500","31.82","628.566","31.428","1131.70","0","0.1","617","69.2","617","69.2","617","69.1","http://localhost:8000/hillshade-con/cache_rast1-small/5/true"
"localhost","cache","PNG","Hillshade","256x256","500","20","500","0","38.333","17181500","13.04","1533.303","76.665","437.72","0","0.2","1504","160.2","1504","160.2","1504","160.0","http://localhost:8000/hillshade/cache_rast1-small/5/true"
"localhost","local","PNG","Hillshade","256x256","500","20","500","0","16.073","18210500","31.11","642.935","32.147","1106.41","0","0.2","632","74.4","632","74.4","632","74.2","http://localhost:8000/hillshade-con/local_rast1-small/5/true"
"localhost","local","PNG","Hillshade","256x256","500","20","500","0","39.045","17181500","12.81","1561.782","78.089","429.74","0","0.2","1532","166.6","1532","166.6","1532","166.4","http://localhost:8000/hillshade/local_rast1-small/5/true"
