Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
m1.large,cache,PNG,Weighted Overlay,256x256,500,20,500,0,16.405,19848500,30.48,656.189,32.809,1181.57,0,0.1,651,295,650,295.4,651,295,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
m1.large,cache,Text,Weighted Overlay,256x256,500,20,500,377,11.412,53828,43.81,456.494,22.825,4.61,0,0.1,452,127,451,126.3,452,127,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
m1.large,cache,Text,Weighted Overlay,1408x1408,500,20,500,54,191.306,54438,2.61,7652.242,382.612,0.28,0,0.1,7562,888.2,7561,888.1,7562,888.2,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
m1.large,local,PNG,Weighted Overlay,256x256,500,20,500,0,9.705,19848500,51.52,388.216,19.411,1997.17,0,0.2,383,108.8,382,107.7,383,108.8,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
m1.large,local,Text,Weighted Overlay,256x256,500,20,500,305,9.64,53753,51.86,385.617,19.281,5.45,0,2.7,380,105.3,380,105.3,380,105.2,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
m1.large,local,Text,Weighted Overlay,1408x1408,500,20,500,52,185.445,54441,2.7,7417.815,370.891,0.29,0,0.7,7329,920,7329,919.8,7330,919.8,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,62.92,18210500,7.95,2516.789,125.839,282.64,0,0.1,2485,287.6,2483,286.6,2485,287.6,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
m1.large,cache,PNG,Hillshade,256x256,500,20,500,0,54.769,17181500,9.13,2190.759,109.538,306.36,0,1.3,2162,321.7,2161,320.7,2162,321.5,http://localhost:8000/hillshade/cache_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,61.91,18210500,8.08,2476.406,123.82,287.25,0,3.8,2446,286.9,2445,286.9,2446,286.4,http://localhost:8000/hillshade-con/local_rast1-small/5/true
m1.large,local,PNG,Hillshade,256x256,500,20,500,0,54.582,17181500,9.16,2183.269,109.163,307.41,0,2.8,2154,334.9,2153,334.5,2154,334.8,http://localhost:8000/hillshade/local_rast1-small/5/true
m1.large,cache,PNG,Weighted Overlay,256x256,500,20,500,0,10.227,19848500,48.89,409.097,20.455,1895.23,0,0.1,404,113,404,113,404,113,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
