Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
rackspace.4G,cache,PNG,Weighted Overlay,256x256,500,20,500,0,15.286,19848500,32.71,611.443,30.572,1268.04,0,0.2,606,228.7,606,228.7,606,228.8,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
rackspace.4G,cache,Text,Weighted Overlay,256x256,500,20,500,58,10.22,53933,48.92,408.795,20.44,5.15,0,0.7,404,59.9,404,59.9,404,59.6,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
rackspace.4G,cache,Text,Weighted Overlay,1408x1408,500,20,500,45,184.773,54451,2.71,7390.915,369.546,0.29,0,0.2,7302,764.8,7301,764.8,7302,764.8,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
rackspace.4G,local,PNG,Weighted Overlay,256x256,500,20,500,0,9.33,19848500,53.59,373.203,18.66,2077.51,0,0.4,369,55.1,368,55,369,54.9,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
rackspace.4G,local,Text,Weighted Overlay,256x256,500,20,500,72,9.064,53919,55.16,362.554,18.128,5.81,0,0.3,358,43,358,43,358,42.8,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
rackspace.4G,local,Text,Weighted Overlay,1408x1408,500,20,500,47,180.556,54447,2.77,7222.222,361.111,0.29,0,0.8,7132,768.3,7132,768,7132,767.9,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
rackspace.4G,cache,PNG,Hillshade,256x256,500,20,500,0,63.355,18210500,7.89,2534.191,126.71,280.7,0,0.2,2502,183.5,2502,183.4,2502,183.4,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
rackspace.4G,cache,PNG,Hillshade,256x256,500,20,500,0,53.385,17181500,9.37,2135.385,106.769,314.3,0,1.1,2108,216.8,2108,216.8,2109,216.5,http://localhost:8000/hillshade/cache_rast1-small/5/true
rackspace.4G,local,PNG,Hillshade,256x256,500,20,500,0,62.311,18210500,8.02,2492.455,124.623,285.4,0,1,2461,227.1,2460,227.2,2461,226.5,http://localhost:8000/hillshade-con/local_rast1-small/5/true
rackspace.4G,local,PNG,Hillshade,256x256,500,20,500,0,52.838,17181500,9.46,2113.501,105.675,317.55,0,0.2,2086,232.9,2086,233,2086,232.8,http://localhost:8000/hillshade/local_rast1-small/5/true
rackspace.4G,cache,PNG,Weighted Overlay,256x256,500,20,500,0,10.196,19848500,49.04,407.82,20.391,1901.16,0,0.8,402,46.2,402,46.2,402,45.9,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
rackspace.4G,cache,Text,Weighted Overlay,256x256,500,20,500,54,10.101,53942,49.5,404.035,20.202,5.22,0,0.8,399,44.3,398,44.3,399,43.9,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
rackspace.4G,cache,Text,Weighted Overlay,1408x1408,500,20,500,56,210.811,54438,2.37,8432.421,421.621,0.25,0,0.8,8332,903.9,8331,903.5,8332,903.4,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
rackspace.4G,local,PNG,Weighted Overlay,256x256,500,20,500,0,10.244,19848500,48.81,409.745,20.487,1892.23,0,0.9,404,51.7,403,51.6,404,51.3,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
rackspace.4G,local,Text,Weighted Overlay,256x256,500,20,500,51,10.178,53938,49.13,407.114,20.356,5.18,0,0.9,402,51.2,402,51.2,402,50.8,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
rackspace.4G,local,Text,Weighted Overlay,1408x1408,500,20,500,55,214.123,54436,2.34,8564.922,428.246,0.25,0,0.8,8463,853.3,8462,853.1,8463,852.9,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
rackspace.4G,cache,PNG,Hillshade,256x256,500,20,500,0,62.647,18210500,7.98,2505.868,125.293,283.87,0,0.3,2474,226.9,2474,226.9,2474,226.8,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
rackspace.4G,cache,PNG,Hillshade,256x256,500,20,500,0,53.015,17181500,9.43,2120.584,106.029,316.49,0,0.6,2093,231.8,2093,231.8,2093,231.4,http://localhost:8000/hillshade/cache_rast1-small/5/true
rackspace.4G,local,PNG,Hillshade,256x256,500,20,500,0,62.653,18210500,7.98,2506.123,125.306,283.84,0,0.1,2474,229.4,2474,229.4,2474,229.3,http://localhost:8000/hillshade-con/local_rast1-small/5/true
rackspace.4G,local,PNG,Hillshade,256x256,500,20,500,0,53.152,17181500,9.41,2126.062,106.303,315.68,0,0.7,2099,224.5,2098,224.5,2099,224.1,http://localhost:8000/hillshade/local_rast1-small/5/true
rackspace.4G,cache,PNG,Weighted Overlay,256x256,500,20,500,0,10.256,19848500,48.75,410.244,20.512,1889.93,0,0.2,405,41.4,404,41.4,405,41.4,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
rackspace.4G,cache,Text,Weighted Overlay,256x256,500,20,500,45,10.225,53948,48.9,408.991,20.45,5.15,0,0.6,404,48.7,404,48.7,404,48.4,http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
rackspace.4G,cache,Text,Weighted Overlay,1408x1408,500,20,500,44,212.929,54448,2.35,8517.156,425.858,0.25,0,0.8,8413,889.7,8413,889.7,8413,889.2,http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
rackspace.4G,local,PNG,Weighted Overlay,256x256,500,20,500,0,10.019,19848500,49.9,400.774,20.039,1934.59,0,0.4,395,47.9,395,47.9,395,47.8,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true
rackspace.4G,local,Text,Weighted Overlay,256x256,500,20,500,442,9.947,53927,50.27,397.884,19.894,5.29,0,1.7,392,48.1,392,48.1,393,47.4,http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false
rackspace.4G,local,Text,Weighted Overlay,1408x1408,500,20,500,45,210.945,54452,2.37,8437.814,421.891,0.25,0,0.8,8335,860.7,8335,860.7,8336,860.2,http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false
rackspace.4G,cache,PNG,Hillshade,256x256,500,20,500,0,62.513,18210500,8,2500.517,125.026,284.48,0,0.5,2469,216.3,2468,216.3,2469,216,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
rackspace.4G,cache,PNG,Hillshade,256x256,500,20,500,0,53.145,17181500,9.41,2125.804,106.29,315.72,0,0.7,2098,232.4,2097,232.4,2098,232,http://localhost:8000/hillshade/cache_rast1-small/5/true
