From,Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
localhost,m1.medium,cache,PNG,Hillshade,256x256,500,20,500,0,111.751,18210500,4.47,4470.044,223.502,159.14,14,7.6,4404,412.7,4332,411.5,4418,412.3,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/hillshade-con/cache_rast1-small/5/true
localhost,m1.medium,cache,PNG,Hillshade,256x256,500,20,500,0,93.77,17181500,5.33,3750.793,187.54,178.94,16,45.1,3688,439.3,3623,438.9,3703,441,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/hillshade/cache_rast1-small/5/true
rackspace.4G,m1.medium,cache,PNG,Hillshade,256x256,500,20,500,0,109.884,18210500,4.55,4395.364,219.768,161.84,49,48.7,4289,472.8,4187,471.4,4339,467.6,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/hillshade-con/cache_rast1-small/5/true
rackspace.4G,m1.medium,cache,PNG,Hillshade,256x256,500,20,500,0,94.027,17181500,5.32,3761.084,188.054,178.45,45,15.4,3670,457.7,3574,455.2,3714,457,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/hillshade/cache_rast1-small/5/true
localhost,m1.medium,local,PNG,Hillshade,256x256,500,20,500,0,109.616,18210500,4.56,4384.643,219.232,162.24,17,45.2,4315,450.4,4235,440,4332,451.4,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/hillshade-con/local_rast1-small/5/true
localhost,m1.medium,local,PNG,Hillshade,256x256,500,20,500,0,93.239,17181500,5.36,3729.552,186.478,179.96,16,45.1,3669,458.6,3600,462.4,3684,462.6,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/hillshade/local_rast1-small/5/true
rackspace.4G,m1.medium,local,PNG,Hillshade,256x256,500,20,500,0,110.214,18210500,4.54,4408.579,220.429,161.36,45,23.2,4307,445.1,4201,446.4,4352,444.7,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/hillshade-con/local_rast1-small/5/true
rackspace.4G,m1.medium,local,PNG,Hillshade,256x256,500,20,500,0,94.119,17181500,5.31,3764.761,188.238,178.27,50,61.1,3666,440.7,3573,440,3716,435.2,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/hillshade/local_rast1-small/5/true
localhost,m1.medium,cache,PNG,Weighted Overlay,256x256,500,20,500,0,33.745,19848500,14.82,1349.78,67.489,574.41,49,218.8,1264,442,1149,429,1313,486,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
localhost,m1.medium,cache,Text,Weighted Overlay,256x256,500,20,500,47,23.966,53950,20.86,958.634,47.932,2.2,18,47.6,931,153.1,931,152.6,950,160,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false
localhost,m1.medium,cache,Text,Weighted Overlay,1408x1408,500,20,500,55,325.718,54439,1.54,13028.722,651.436,0.16,19,77.6,12864,1312.3,12862,1313.1,12882,1315.1,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false
rackspace.4G,m1.medium,cache,PNG,Weighted Overlay,256x256,500,20,500,0,20.233,19848500,24.71,809.319,40.466,958.01,44,15,754,138.3,663,133.9,799,138.8,http://ec2-174-129-160-79.compute-1.amazonaws.com:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true
